127.0.0.1 - - [23/Oct/2019:22:15:42 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:43 -0300] "GET /ChatBotRodriguinhov3/ HTTP/1.1" 200 4399
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:43 -0300] "GET /ChatBotRodriguinhov3/css/style.css HTTP/1.1" 200 6893
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:43 -0300] "GET /ChatBotRodriguinhov3/images/math.jpg HTTP/1.1" 200 138420
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:43 -0300] "GET /ChatBotRodriguinhov3/images/brinquedo.jpg HTTP/1.1" 200 164278
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:43 -0300] "GET /ChatBotRodriguinhov3/images/graficos.jpg HTTP/1.1" 200 183267
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:44 -0300] "GET /ChatBotRodriguinhov3/images/teste.jpg HTTP/1.1" 200 13805
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:50 -0300] "GET /ChatBotRodriguinhov2.1/index.jsp HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:53 -0300] "GET /ChatBotRodriguinhov3/ HTTP/1.1" 200 4399
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:53 -0300] "GET /ChatBotRodriguinhov3/css/style.css HTTP/1.1" 200 6893
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:53 -0300] "GET /ChatBotRodriguinhov3/images/math.jpg HTTP/1.1" 200 138420
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:53 -0300] "GET /ChatBotRodriguinhov3/images/brinquedo.jpg HTTP/1.1" 200 164278
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:53 -0300] "GET /ChatBotRodriguinhov3/images/graficos.jpg HTTP/1.1" 200 183267
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:53 -0300] "GET /ChatBotRodriguinhov3/images/teste.jpg HTTP/1.1" 200 13805
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:53 -0300] "GET /ChatBotRodriguinhov3/images/icon.jpg HTTP/1.1" 200 29441
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:55 -0300] "GET /ChatBotRodriguinhov3/login.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:15:55 -0300] "GET /ChatBotRodriguinhov3/images/photo-1550430016-d4b30cf6521f.jpg HTTP/1.1" 200 22888
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:16:02 -0300] "POST /ChatBotRodriguinhov3/ValidaLogin HTTP/1.1" 200 5472
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:16:03 -0300] "GET /ChatBotRodriguinhov3/index.jsp HTTP/1.1" 200 4399
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:16:04 -0300] "GET /ChatBotRodriguinhov3/login.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:16:06 -0300] "POST /ChatBotRodriguinhov3/ValidaLogin HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:16:30 -0300] "GET /ChatBotRodriguinhov3/ValidaLogin HTTP/1.1" 405 1116
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:16:33 -0300] "POST /ChatBotRodriguinhov3/ValidaLogin HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:16:51 -0300] "GET /ChatBotRodriguinhov3/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:18:33 -0300] "POST /ChatBotRodriguinhov3/ValidaLogin HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:18:33 -0300] "GET /ChatBotRodriguinhov3/css/style.css HTTP/1.1" 200 6893
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:18:33 -0300] "GET /ChatBotRodriguinhov3/images/photo-1550430016-d4b30cf6521f.jpg HTTP/1.1" 200 22888
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:18:33 -0300] "GET /ChatBotRodriguinhov3/images/icon.jpg HTTP/1.1" 200 29441
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:18:40 -0300] "POST /ChatBotRodriguinhov3/ValidaLogin HTTP/1.1" 200 5472
0:0:0:0:0:0:0:1 - - [23/Oct/2019:22:18:40 -0300] "GET /ChatBotRodriguinhov3/images/teste.jpg HTTP/1.1" 304 -
